unify name,binance name,okex name
BAT.TUSD,BATTUSD,
BAT.USDC,BATUSDC,
BAT.USDT,BATUSDT,BAT-USDT
BCD.BTC,BCDBTC,BCD-BTC
BCD.ETH,BCDETH,
BCD.USDT,,BCD-USDT
BCH.BNB,BCHBNB,
BCH.BTC,BCHBTC,BCH-BTC
BCH.BUSD,BCHBUSD,
BCH.EUR,BCHEUR,
BCH.PAX,BCHPAX,
BCH.TUSD,BCHTUSD,
BCH.USDC,BCHUSDC,BCH-USDC
BCH.USDK,,BCH-USDK
BCH.USDT,BCHUSDT,BCH-USDT
BCHA.BTC,,BCHA-BTC
BCHA.BUSD,BCHABUSD,
BCHA.USDT,,BCHA-USDT
BCHDOWN.USDT,BCHDOWNUSDT,
BCHSV.BTC,BCHSVBTC,
BCHSV.PAX,BCHSVPAX,
BCHSV.TUSD,BCHSVTUSD,
BCHSV.USDC,BCHSVUSDC,
BCHSV.USDT,BCHSVUSDT,
BCHUP.USDT,BCHUPUSDT,
BCPT.BNB,BCPTBNB,
BCPT.BTC,BCPTBTC,
BCPT.ETH,BCPTETH,
BCPT.PAX,BCPTPAX,
BCPT.TUSD,BCPTTUSD,
BCPT.USDC,BCPTUSDC,
BCX.BTC,,BCX-BTC
BEAM.BNB,BEAMBNB,
BEAM.BTC,BEAMBTC,
BEAM.USDT,BEAMUSDT,
BEAR.BUSD,BEARBUSD,
BEAR.USDT,BEARUSDT,
BEL.BNB,BELBNB,
BEL.BTC,BELBTC,
BEL.BUSD,BELBUSD,
BEL.USDT,BELUSDT,
BETH.ETH,BETHETH,BETH-ETH
BETH.USDT,,BETH-USDT
BGBP.USDC,BGBPUSDC,
BHP.BTC,,BHP-BTC
BHP.USDT,,BHP-USDT
BIFI.BNB,BIFIBNB,
BIFI.BUSD,BIFIBUSD,
BKRW.BUSD,BKRWBUSD,
BKRW.USDT,BKRWUSDT,
BLOC.USDT,,BLOC-USDT
BLZ.BNB,BLZBNB,
BLZ.BTC,BLZBTC,
BLZ.BUSD,BLZBUSD,
BLZ.ETH,BLZETH,
BLZ.USDT,BLZUSDT,
BNB.AUD,BNBAUD,
BNB.BIDR,BNBBIDR,
BNB.BKRW,BNBBKRW,
BNB.BRL,BNBBRL,
BNB.BTC,BNBBTC,
BNB.BUSD,BNBBUSD,
BNB.DAI,BNBDAI,
BNB.ETH,BNBETH,
BNB.EUR,BNBEUR,
BNB.GBP,BNBGBP,
BNB.IDRT,BNBIDRT,
BNB.NGN,BNBNGN,
BNB.PAX,BNBPAX,
BNB.RUB,BNBRUB,
BNB.TRY,BNBTRY,
BNB.TUSD,BNBTUSD,
BNB.UAH,BNBUAH,
BNB.USDC,BNBUSDC,
BNB.USDS,BNBUSDS,
BNB.USDT,BNBUSDT,
BNB.ZAR,BNBZAR,
BNBBEAR.BUSD,BNBBEARBUSD,
BNBBEAR.USDT,BNBBEARUSDT,
BNBBULL.BUSD,BNBBULLBUSD,
BNBBULL.USDT,BNBBULLUSDT,
BNBDOWN.USDT,BNBDOWNUSDT,
BNBUP.USDT,BNBUPUSDT,
BNT.BTC,BNTBTC,BNT-BTC
BNT.BUSD,BNTBUSD,
BNT.ETH,BNTETH,
BNT.USDT,BNTUSDT,BNT-USDT
BOT.BTC,BOTBTC,
BOT.BUSD,BOTBUSD,
BOX.USDT,,BOX-USDT
BQX.BTC,BQXBTC,
BQX.ETH,BQXETH,
BRD.BNB,BRDBNB,
BRD.BTC,BRDBTC,
BRD.ETH,BRDETH,
BSV.BTC,,BSV-BTC
BSV.USDC,,BSV-USDC
BSV.USDK,,BSV-USDK
BSV.USDT,,BSV-USDT
BTC.AUD,BTCAUD,
BTC.BIDR,BTCBIDR,
BTC.BKRW,BTCBKRW,
BTC.BRL,BTCBRL,
BTC.BUSD,BTCBUSD,
BTC.DAI,BTCDAI,BTC-DAI
BTC.EUR,BTCEUR,
BTC.GBP,BTCGBP,
BTC.IDRT,BTCIDRT,
BTC.NGN,BTCNGN,
BTC.PAX,BTCPAX,
BTC.RUB,BTCRUB,
BTC.TRY,BTCTRY,
BTC.TUSD,BTCTUSD,
BTC.UAH,BTCUAH,
BTC.USDC,BTCUSDC,BTC-USDC
BTC.USDK,,BTC-USDK
BTC.USDS,BTCUSDS,
BTC.USDT,BTCUSDT,BTC-USDT
BTC.VAI,BTCVAI,
